concept,qualifier,context,type
date,product,university,date
zip,customer,school,integer
birth,product,store,
marriage,employment,university,date
area,ID,bank,string
marriage,address,product,date
area,social,location,string
time,employee,university,string
zip,product,shape,integer
zip,customer,product,integer
employment,ID,shape,boolean
employment,geographical,school,boolean
date,ID,university,date
area,anniversary,university,string
manager_status,,user,boolean
city,postal,location,string
progress,termination,university,string
day,anniversary,user,
level,customer,school,string
passport,anniversary,customer,string
day,geographical,product,
grade,passport,user,string
salary,social,shape,float
marriage,social,shape,date
height,geographical,bank,float
manager_status,order,user,boolean
passport,work,location,string
day,ID,organization,
employment,user,product,boolean
weight,marriage,product,float
time,employee,customer,string
joining,termination,government,date
ID,customer,school,integer
gender,order,university,string
ID,customer,customer,integer
gender,product,user,string
month,,location,
email,work,school,string
joining,postal,bank,date
birth,address,school,
termination,,customer,date
joining,anniversary,customer,date
manager_status,,government,boolean
class,geographical,product,string
salary,anniversary,organization,float
level,manager,location,enumeration
ID,passport,bank,integer
exit,ID,employee,
country,social,school,string
day,product,organization,
zip,,location,integer
number,termination,customer,integer
termination,product,shape,date
status,passport,store,string
gender,work,store,string
area,employment,location,string
year,manager,school,
height,customer,location,float
zip,passport,government,integer
class,employment,government,enumeration
number,ID,location,integer
city,marriage,government,string
status,address,organization,string
progress,address,user,string
grade,order,shape,string
joining,order,product,date
ID,passport,school,integer
weight,product,school,float
birth,customer,school,
height,employment,shape,float
height,manager,school,float
employee_number,postal,customer,integer
employee_number,manager,organization,integer
ID,marriage,organization,integer
zip,social,school,integer
month,user,bank,
employment,postal,government,boolean
employment,postal,university,boolean
anniversary,address,customer,date
marriage,social,location,date
passport,employee,customer,string
month,marriage,customer,
anniversary,ID,organization,date
phone,product,school,string
phone,social,store,string
gender,customer,government,string
time,passport,bank,string
employee_number,postal,shape,integer
manager_status,order,university,boolean
country,manager,user,string
number,geographical,location,integer
zip,employee,store,integer
employment,anniversary,customer,boolean
grade,employment,bank,string
class,product,customer,string
weight,geographical,government,float
email,termination,product,string
ID,order,customer,integer
phone,postal,shape,string
date,,bank,date
zip,employment,school,integer
gender,geographical,school,string
progress,address,location,enumeration
number,ID,organization,integer
weight,ID,university,float
year,anniversary,location,
email,work,location,string
zip,,government,integer
passport,marriage,user,string
employee_number,passport,employee,integer
exit,customer,user,
month,product,government,
manager_status,social,bank,boolean
weight,ID,government,float
ID,geographical,university,integer
termination,social,government,date
month,postal,location,
employee_number,user,user,integer
month,work,organization,
marriage,marriage,organization,date
grade,employee,location,enumeration
zip,anniversary,user,integer
passport,employee,shape,string
month,user,user,
grade,product,user,string
weight,passport,location,float
ID,user,government,integer
passport,employee,user,string
number,employment,bank,integer
number,ID,shape,integer
employment,marriage,government,boolean
anniversary,passport,product,date
level,employee,employee,string
grade,postal,shape,string
level,,school,string
birth,employee,shape,
employee_number,address,university,integer
ID,employment,location,integer
status,passport,shape,string
date,order,bank,date
